state,lga,year,month,rainfall_mm,temperature_avg_c,vegetation_index,season,intervention_flag,reporting_completeness_pct,timeliness_pct,total_cases
Ekiti,Ekiti_LGA2,2020,10,187.865776,29.07711252,0.525865231,rainy,0,66.78110787,74.75152555,20160.48265
Gombe,Gombe_LGA3,2025,8,300.259074,27.49893738,0.621879231,rainy,1,46.89318662,33.62617806,3675.701146
Kaduna,Kaduna_LGA1,2023,11,69.72533801,33.57980745,0.284062778,dry,0,50.30902376,62.44667136,4332.225413
Borno,Borno_LGA1,2024,12,33.44340728,25.48105833,0.324251163,harmattan,0,79.48683934,38.5875068,3785.397049
Ekiti,Ekiti_LGA2,2021,12,33.32586077,29.00682208,0.373576089,harmattan,1,30.73910309,39.40641773,271.3120884
Gombe,Gombe_LGA1,2025,6,298.4530043,29.57415858,0.633496287,rainy,1,77.10553294,72.39958644,14506.8389
Abia,Abia_LGA1,2020,6,245.9746692,26.19849209,0.698434421,rainy,0,73.99201621,55.28545362,9763.61071
Abia,Abia_LGA1,2023,6,246.0472947,25.48185455,0.548335039,rainy,0,84.57334473,46.17300788,11900.81973
Akwa Ibom,Akwa Ibom_LGA3,2023,11,85.28837594,28.22528186,0.507941819,dry,0,47.89878339,55.54164081,2109.573544
Enugu,Enugu_LGA2,2023,7,332.0168853,29.80034481,0.707523594,rainy,0,58.16280707,36.04730074,9767.275409
Enugu,Enugu_LGA1,2020,6,237.6406252,27.53850302,0.621375397,rainy,0,40.32229066,50.42356842,5083.961507
Jigawa,Jigawa_LGA1,2020,4,301.2539072,26.07781606,0.618049332,rainy,0,67.51062112,36.63683299,19700.84076
Ebonyi,Ebonyi_LGA3,2025,6,240.4996564,28.24681722,0.715094205,rainy,0,42.02000336,47.07973602,3446.700645
Delta,Delta_LGA1,2023,8,372.8698092,28.71890391,0.562583097,rainy,0,94.46679685,77.28200672,56551.00864
Jigawa,Jigawa_LGA1,2018,8,285.2980496,27.84699955,0.653573051,rainy,1,54.75762225,70.18771664,5553.644441
Jigawa,Jigawa_LGA1,2019,9,446.536513,27.90025496,0.750389691,rainy,1,61.41689463,52.3881563,17598.24647
Cross River,Cross River_LGA2,2022,4,324.6945556,26.74504576,0.582093708,rainy,0,47.72605167,55.25939395,9777.549478
Delta,Delta_LGA3,2023,3,84.4850502,29.93101163,0.443010628,dry,0,74.72245454,24.08093101,3021.84547
Anambra,Anambra_LGA3,2025,5,320.7675918,29.28003906,0.706693147,rainy,1,56.0807933,31.71265174,2824.576479
Ebonyi,Ebonyi_LGA3,2018,7,169.5453351,26.54217771,0.610182656,rainy,1,75.39022568,62.29453092,4489.573632
Anambra,Anambra_LGA3,2021,12,33.11886969,28.62485688,0.408648447,harmattan,0,58.73314283,58.7722151,1591.783735
Abia,Abia_LGA2,2024,1,27.85809147,26.47859309,0.273346005,harmattan,0,83.9581895,33.2414809,703.0283099
Bayelsa,Bayelsa_LGA3,2021,3,103.9335052,25.1267998,0.395556542,dry,0,40.83722566,82.96468784,2073.172256
Cross River,Cross River_LGA3,2024,3,74.47774617,32.10508641,0.270555478,dry,1,40.40358132,53.17220518,1493.901774
Cross River,Cross River_LGA1,2024,2,38.69790081,27.13713995,0.262710669,harmattan,1,66.79413049,69.24389524,4977.080389
Imo,Imo_LGA1,2024,4,437.3316905,27.55314564,0.835087242,rainy,0,62.25245669,79.83780178,39619.41823
Gombe,Gombe_LGA3,2020,10,280.6426923,26.95050633,0.650165967,rainy,1,63.85731435,30.55806263,6690.054
Enugu,Enugu_LGA2,2019,11,50.98130963,29.16960107,0.314060145,dry,0,40.04015895,61.87658542,1170.657265
Abia,Abia_LGA1,2019,12,10.78279535,27.7678124,0.356111396,harmattan,1,86.8644119,71.88764642,1821.669923
Delta,Delta_LGA1,2021,6,560.8523102,23.85060618,0.838231273,rainy,0,64.67982892,77.40261053,40023.72068
Edo,Edo_LGA2,2024,5,171.0233386,27.53650093,0.581384265,rainy,0,74.95500292,72.12475724,14117.55465
Borno,Borno_LGA3,2018,8,423.1182962,29.25645502,0.664877325,rainy,1,62.2652815,63.38395878,20029.20759
Ekiti,Ekiti_LGA3,2020,11,68.14915759,26.61986291,0.308244404,dry,0,94.67174047,78.92992265,7308.980954
Jigawa,Jigawa_LGA2,2019,9,331.2424589,27.64944928,0.524583093,rainy,0,59.1741224,47.68278624,13357.33684
Benue,Benue_LGA2,2024,12,30.98617257,26.74739273,0.368382182,harmattan,0,88.59709909,34.60746448,2306.641028
Abia,Abia_LGA1,2025,1,26.74727275,25.31317366,0.299798184,harmattan,0,56.15435991,77.70891359,1377.343211
Abia,Abia_LGA3,2020,12,21.64083667,26.23372995,0.364039312,harmattan,0,67.95024116,67.68380412,2264.817318
Adamawa,Adamawa_LGA1,2018,9,189.4005725,27.96814297,0.688936426,rainy,0,47.29394153,73.73341984,4033.071349
Anambra,Anambra_LGA2,2021,6,352.7233974,28.32016424,0.85197633,rainy,0,60.13462017,51.35346825,11588.13787
Borno,Borno_LGA2,2020,3,77.03237651,29.12117061,0.422353377,dry,1,77.66523215,77.28164391,8168.037567
Akwa Ibom,Akwa Ibom_LGA2,2021,4,249.9321287,26.15916291,0.679159793,rainy,1,71.5708255,82.41544235,9232.033524
Delta,Delta_LGA3,2019,6,477.0475076,31.4516715,0.833932112,rainy,0,80.12860173,82.60865067,38649.14523
Cross River,Cross River_LGA3,2020,8,333.7734832,27.87168597,0.651980943,rainy,0,61.97358975,78.26347114,28054.4718
Enugu,Enugu_LGA1,2018,9,277.483867,27.65982108,0.67611735,rainy,0,54.90391075,68.73801493,9279.992903
Edo,Edo_LGA2,2022,10,312.2672059,25.44589798,0.763606864,rainy,1,74.69560961,53.46303643,9451.529964
Edo,Edo_LGA1,2019,2,41.05684247,27.22206846,0.382172318,harmattan,0,35.10087759,37.28832743,348.1861957
Gombe,Gombe_LGA2,2022,8,238.7280773,26.18050083,0.579854395,rainy,1,53.00421412,79.34299607,5240.553487
Bayelsa,Bayelsa_LGA2,2024,8,309.7905491,28.27517098,0.692648331,rainy,1,81.29805699,79.96237366,29102.53385
Ebonyi,Ebonyi_LGA2,2022,1,21.68509378,24.08563351,0.261467982,harmattan,0,55.21068239,82.41478013,1844.025903
Bauchi,Bauchi_LGA3,2023,10,399.4677874,28.8757774,0.890871686,rainy,1,62.54083197,41.76983071,10376.81761
Akwa Ibom,Akwa Ibom_LGA2,2025,8,231.9080697,28.24582724,0.624467961,rainy,0,36.94399501,53.58291652,2761.994279
Akwa Ibom,Akwa Ibom_LGA1,2024,8,306.7820903,26.07265699,0.720922068,rainy,0,74.94826149,36.08459964,8585.586887
Jigawa,Jigawa_LGA2,2025,10,288.8474024,25.35279713,0.613048748,rainy,0,58.4831697,57.38308117,11646.26623
Enugu,Enugu_LGA2,2018,10,287.2455731,29.95074046,0.678833832,rainy,1,53.20114856,37.11120256,1989.661284
Gombe,Gombe_LGA2,2020,2,32.94089399,28.84280288,0.339858398,harmattan,0,76.30964403,71.5573254,4521.501291
Adamawa,Adamawa_LGA2,2025,1,24.2540192,24.45006956,0.29322996,harmattan,0,58.41976613,32.40102119,1061.284611
Abia,Abia_LGA2,2023,2,8.785202927,23.45997758,0.363400509,harmattan,0,72.27960184,24.84423098,482.0206967
Bauchi,Bauchi_LGA2,2021,12,16.27879414,26.68747804,0.330878776,harmattan,0,49.4115565,33.71538899,1660.756127
Adamawa,Adamawa_LGA3,2019,6,273.4599801,28.23828865,0.733828704,rainy,1,63.40963022,51.96486114,4819.897295
Jigawa,Jigawa_LGA2,2021,1,51.81907171,23.97454316,0.391660656,harmattan,1,36.81737776,48.45942061,641.4391743
Ebonyi,Ebonyi_LGA1,2023,1,18.95103597,24.13785859,0.387825707,harmattan,0,74.21656345,65.28378646,1846.86164
Ekiti,Ekiti_LGA1,2018,1,18.36482549,28.04007574,0.336557411,harmattan,1,41.52842234,54.63641896,1010.557694
Adamawa,Adamawa_LGA1,2025,2,18.97613586,27.53540826,0.377582004,harmattan,0,77.97783796,53.68773631,3317.957264
Abia,Abia_LGA1,2024,8,181.7635556,25.94662948,0.649478033,rainy,0,63.53363606,37.97680086,4219.844312
Bayelsa,Bayelsa_LGA2,2019,6,395.4716763,27.46851172,0.728332407,rainy,1,43.44585678,56.31258741,4141.296643
Bayelsa,Bayelsa_LGA3,2021,2,29.47324342,28.38747778,0.276128842,harmattan,0,82.30777151,34.08556101,3868.630752
Borno,Borno_LGA2,2019,8,380.3508694,28.14836097,0.683662015,rainy,1,32.32437683,43.71431574,2779.02088
Imo,Imo_LGA2,2019,12,28.10503149,25.34964045,0.354222515,harmattan,0,53.54659245,42.15017913,1338.164504
Adamawa,Adamawa_LGA2,2024,10,272.0036679,27.49761101,0.66470096,rainy,0,62.88017074,43.50309686,7291.510779
Abia,Abia_LGA3,2022,9,192.8084977,24.17041122,0.599714158,rainy,0,70.35665793,61.76989658,7305.079764
Anambra,Anambra_LGA1,2023,8,201.3669054,29.05396849,0.677997962,rainy,0,93.33805297,54.75786571,17608.90141
Bauchi,Bauchi_LGA2,2025,4,364.1052525,28.71248804,0.790331097,rainy,0,75.83926044,34.71096099,7846.532133
Imo,Imo_LGA3,2019,1,46.04553891,23.60478281,0.352797029,harmattan,1,43.18465485,56.48816706,752.0928654
Bauchi,Bauchi_LGA2,2025,7,257.1917022,27.32675235,0.630370358,rainy,0,69.5449319,53.73023615,24736.7589
Bauchi,Bauchi_LGA3,2023,3,39.93261847,29.06956312,0.357586016,dry,0,71.56005567,24.09459934,1686.529717
Anambra,Anambra_LGA3,2020,11,56.2756579,29.68506374,0.359935588,dry,1,69.59593476,65.98791042,2922.963162
Gombe,Gombe_LGA2,2024,10,229.8092237,28.01552617,0.619401216,rainy,1,79.38752875,69.85002921,12848.5093
Akwa Ibom,Akwa Ibom_LGA2,2023,11,70.79004346,27.64810934,0.432111777,dry,0,77.99358345,38.02224076,3824.381463
Cross River,Cross River_LGA1,2019,8,339.6227491,31.34256076,0.651222751,rainy,0,30.79054373,47.88717754,5088.912922
Ekiti,Ekiti_LGA2,2022,2,24.76141133,26.21565791,0.35894521,harmattan,0,62.26704693,70.21036074,4070.647164
Borno,Borno_LGA2,2018,12,43.35187877,25.70822672,0.305242957,harmattan,0,67.18600834,51.04172745,2132.340464
Borno,Borno_LGA1,2024,7,357.4185274,27.46144444,0.637100124,rainy,1,50.29267413,56.09846223,7936.858156
Abia,Abia_LGA3,2022,1,34.25021046,23.07296179,0.331272706,harmattan,0,68.38139295,57.03934558,1356.492225
Cross River,Cross River_LGA1,2021,12,29.35440079,28.39057326,0.275375166,harmattan,0,72.8389062,35.38669755,3186.914194
Bauchi,Bauchi_LGA3,2020,3,64.59523022,27.70775583,0.314481488,dry,0,84.65085859,22.4695019,2443.922737
Anambra,Anambra_LGA3,2018,2,35.24914418,27.9244471,0.316287909,harmattan,0,83.39320831,33.87320721,4134.537597
Jigawa,Jigawa_LGA3,2019,5,442.5291753,28.6681294,0.711774485,rainy,0,62.60216793,38.83440753,14534.89751
Abia,Abia_LGA3,2018,8,146.7228127,27.29186376,0.607814163,rainy,0,65.84352683,81.36053723,5625.818634
Borno,Borno_LGA3,2024,1,23.69820149,25.17355225,0.345867719,harmattan,1,62.15441895,79.28351545,1996.706556
Jigawa,Jigawa_LGA2,2021,10,277.5457629,26.14257428,0.587190706,rainy,0,72.46436467,64.78034792,16085.87086
Borno,Borno_LGA3,2019,1,16.63617803,27.11943805,0.350938592,harmattan,0,85.53660902,71.0754751,4948.232212
Jigawa,Jigawa_LGA2,2023,8,257.876823,27.78426886,0.526097954,rainy,1,51.2720024,45.96897509,4350.692369
Delta,Delta_LGA3,2020,12,35.09152743,27.27407113,0.296736051,harmattan,0,89.11724281,66.72759522,11369.88054
Ebonyi,Ebonyi_LGA3,2024,7,197.186682,27.52155549,0.612739155,rainy,0,65.10870679,45.72586926,8686.451784
Gombe,Gombe_LGA3,2020,9,212.1597607,28.5900306,0.5358925,rainy,0,57.6052373,49.86421846,6025.506597
Ebonyi,Ebonyi_LGA3,2020,12,20.94138869,24.26564345,0.25740746,harmattan,1,69.20499234,44.9490842,715.8496727
Benue,Benue_LGA3,2022,6,296.1090685,26.27709921,0.703527376,rainy,0,46.78415416,73.42764063,10248.20023
Bauchi,Bauchi_LGA3,2020,8,423.9746487,28.09207708,0.782008392,rainy,0,50.81544746,41.65641255,9321.780719
Enugu,Enugu_LGA3,2020,9,213.7959645,28.99224956,0.571828902,rainy,0,73.87629677,79.1351449,20315.30689
Gombe,Gombe_LGA1,2020,7,330.2182085,28.8328393,0.642898303,rainy,1,67.50146677,75.59673617,16741.89178
Imo,Imo_LGA2,2020,6,402.0432564,25.1955288,0.778120494,rainy,0,62.26409289,51.13100383,17876.873
Ekiti,Ekiti_LGA2,2018,6,270.2091927,30.71841601,0.706286187,rainy,0,40.42881311,31.42674796,2813.812753
Anambra,Anambra_LGA2,2018,5,277.2615339,28.28175353,0.721636223,rainy,1,54.64411165,55.7326248,6752.313801
Abia,Abia_LGA2,2024,12,23.20844271,24.58416924,0.368614485,harmattan,1,38.42149472,28.30300194,177.4957944
Ekiti,Ekiti_LGA3,2022,3,98.20533593,28.73846236,0.35772431,dry,0,81.09534219,46.55173209,4605.599325
Enugu,Enugu_LGA1,2024,6,210.8868428,28.03068062,0.603800848,rainy,0,59.45431745,30.03496934,4187.595043
Jigawa,Jigawa_LGA3,2024,7,450.1990536,27.60956578,0.816891269,rainy,1,57.7265196,44.52328456,6799.199012
Enugu,Enugu_LGA2,2022,12,29.90601008,27.93497083,0.444556928,harmattan,1,42.92453971,40.08632049,449.8382886
Imo,Imo_LGA2,2023,12,26.25702188,27.45519415,0.297560697,harmattan,0,66.46378939,57.42262309,1868.276151
Edo,Edo_LGA1,2023,11,83.61034876,29.48227276,0.425494789,dry,1,54.41450724,80.78674043,2064.288054
Ebonyi,Ebonyi_LGA1,2025,11,28.98591891,28.27703958,0.390155919,dry,0,84.9205487,49.96308017,6567.130678
Ekiti,Ekiti_LGA2,2020,5,331.8923097,27.34870077,0.649244846,rainy,0,40.79166638,73.74862937,7561.610682
Ebonyi,Ebonyi_LGA1,2018,8,287.4470256,23.9809174,0.796941933,rainy,0,75.94646087,44.36407807,5680.45513
Cross River,Cross River_LGA3,2024,8,327.5565482,29.58542395,0.596859653,rainy,0,63.94240935,61.96355054,16210.77169
Bauchi,Bauchi_LGA3,2024,4,348.8445075,27.96178396,0.67436049,rainy,0,69.73672463,67.00904438,18117.81853
Enugu,Enugu_LGA2,2023,8,373.0754681,27.49764498,0.820302649,rainy,0,53.36544727,67.14744754,10726.30569
Jigawa,Jigawa_LGA1,2023,6,408.2714851,28.21854957,0.696920702,rainy,1,54.89277757,61.68765268,14352.43689
Kaduna,Kaduna_LGA1,2018,7,360.0184102,28.41211788,0.581765989,rainy,1,12.4704491,44.06229121,309.437861
Benue,Benue_LGA2,2021,1,30.99590678,26.03341473,0.295972636,harmattan,0,59.01469582,23.81016226,892.0905712
Abia,Abia_LGA1,2018,9,210.323334,28.62950309,0.645724162,rainy,0,48.99552298,35.89693333,2377.86328
Ebonyi,Ebonyi_LGA1,2019,3,37.36119651,28.94096896,0.270880401,dry,1,44.11566045,49.76465189,794.9982951
Delta,Delta_LGA3,2023,4,290.9098259,29.54496104,0.541894136,rainy,1,76.15400632,75.00490309,21347.30059
Ekiti,Ekiti_LGA3,2019,5,313.1384555,26.49144112,0.782934576,rainy,0,62.70022149,28.81279325,4421.54068
Abia,Abia_LGA2,2022,1,20.41866734,25.3489218,0.354928077,harmattan,1,78.54650766,60.66524994,1092.684097
Borno,Borno_LGA1,2025,5,281.8401792,28.69497724,0.557265863,rainy,1,43.62499506,71.65367513,9833.624868
Ebonyi,Ebonyi_LGA3,2023,12,14.63689595,26.59841227,0.313961009,harmattan,0,81.45069006,76.01059661,2031.032327
Akwa Ibom,Akwa Ibom_LGA3,2024,2,24.2642972,26.0218174,0.270812413,harmattan,0,58.2374633,64.95502932,1512.494407
Anambra,Anambra_LGA3,2024,1,28.22626875,26.44979746,0.310651788,harmattan,0,57.72786366,48.63646964,2807.76491
Abia,Abia_LGA2,2022,8,205.2968424,27.82374458,0.636112902,rainy,0,89.7365614,43.14938182,10873.24414
Ekiti,Ekiti_LGA2,2021,4,262.0554863,27.88432624,0.646192,rainy,0,71.00549015,56.18472874,13489.39561
Anambra,Anambra_LGA2,2025,9,240.0300937,30.35196092,0.556216357,rainy,0,55.82645437,35.03010255,4009.603762
Bayelsa,Bayelsa_LGA2,2022,7,348.3085259,26.48265116,0.622524596,rainy,0,63.24592972,82.25791184,18542.21076
Ebonyi,Ebonyi_LGA2,2020,9,206.5193463,28.56593252,0.666061647,rainy,1,61.44257823,38.28801271,1215.891309
Borno,Borno_LGA1,2019,2,15.55415923,25.92756248,0.32180007,harmattan,1,78.20551588,48.46904876,2425.866384
Edo,Edo_LGA3,2022,11,21.0227945,26.45011401,0.371616482,dry,0,80.5093371,57.30508111,4150.068068
Benue,Benue_LGA1,2024,8,313.1106864,27.07667209,0.614164592,rainy,0,45.76240491,60.20883866,4670.298511
Delta,Delta_LGA2,2018,9,504.0248858,29.98434623,0.866432746,rainy,0,91.14114813,68.36824206,91355.45375
Ebonyi,Ebonyi_LGA2,2023,4,148.2575247,25.37557001,0.617596436,rainy,0,78.56665672,61.02103887,11347.92656
Adamawa,Adamawa_LGA2,2025,5,324.7207042,28.16501589,0.748744578,rainy,1,62.95544897,57.83796518,7936.428941
Edo,Edo_LGA2,2020,2,4.441970734,25.09714365,0.260795831,harmattan,0,60.30562544,60.95616091,1352.169507
Gombe,Gombe_LGA1,2021,7,341.1604709,28.77500265,0.693782292,rainy,1,68.45072039,36.57374235,5168.612119
Ekiti,Ekiti_LGA1,2021,5,305.7975216,27.78857873,0.733118705,rainy,0,72.00866128,57.56251661,16076.8472
Abia,Abia_LGA3,2025,4,250.3811696,27.07725126,0.858213994,rainy,0,83.74497897,67.48363251,11183.47459
Benue,Benue_LGA1,2019,2,41.34162968,24.66240388,0.32482571,harmattan,0,66.2504218,36.86559301,1578.413001
Jigawa,Jigawa_LGA1,2019,5,303.1476591,28.72466257,0.613477145,rainy,1,49.39458137,30.73710956,3453.759104
Ebonyi,Ebonyi_LGA1,2018,7,232.9164592,27.03960528,0.692652889,rainy,0,78.51624077,70.71419257,26434.44212
Benue,Benue_LGA3,2019,10,469.0002878,28.49844492,0.717586593,rainy,1,66.83725151,46.80582467,15659.05696
Abia,Abia_LGA2,2018,5,285.5539502,29.05189564,0.763559118,rainy,0,75.36501982,65.35589608,17478.03913
Delta,Delta_LGA3,2019,9,369.3831538,30.12519823,0.532452381,rainy,0,82.35756934,77.61131748,81557.79822
Ekiti,Ekiti_LGA2,2019,7,321.3353839,26.91873864,0.721974839,rainy,0,57.94226375,50.17156626,10682.37075
Ekiti,Ekiti_LGA3,2021,1,31.85014929,25.56179684,0.346432526,harmattan,1,47.41066421,51.3518771,878.2656898
Ekiti,Ekiti_LGA3,2019,2,11.57146996,25.95771162,0.334151888,harmattan,0,15.77361176,65.01378173,161.0998599
Adamawa,Adamawa_LGA3,2022,3,48.54896691,28.05520761,0.352131047,dry,1,40.85593947,47.25239141,785.8966198
Benue,Benue_LGA2,2023,3,64.51977734,26.49211546,0.373607219,dry,0,61.51413297,53.47457938,4576.876177
Akwa Ibom,Akwa Ibom_LGA2,2018,10,317.9629509,28.72277203,0.719463159,rainy,0,47.7027855,60.02545405,9418.520773
Enugu,Enugu_LGA1,2022,3,53.58911001,27.83235019,0.349444201,dry,0,78.40624217,45.92654215,3528.97959
Enugu,Enugu_LGA3,2018,9,202.2988471,29.73105849,0.565330538,rainy,0,54.79427971,51.4359611,11564.50357
Jigawa,Jigawa_LGA1,2022,11,115.8683476,26.55007139,0.382018869,dry,1,65.47780122,53.88217366,2954.955161
Borno,Borno_LGA1,2018,3,56.83283328,28.51403697,0.372861302,dry,0,59.21892171,21.50546791,1789.833296
Anambra,Anambra_LGA3,2021,5,333.622364,28.45762851,0.738148024,rainy,0,62.73613601,52.56615437,10007.97107
Akwa Ibom,Akwa Ibom_LGA3,2023,2,19.43309643,28.53371998,0.340235107,harmattan,0,56.79342765,32.94664361,1970.924908
Delta,Delta_LGA3,2019,10,444.3382987,27.61818402,0.701170241,rainy,0,64.1010242,62.88999421,29755.78158
Enugu,Enugu_LGA1,2025,2,17.36731681,26.26006787,0.294768669,harmattan,1,28.21499069,34.1767937,274.6650258
Imo,Imo_LGA1,2023,2,27.31254566,25.13874273,0.375663962,harmattan,0,70.52838724,48.0706909,2680.682746
Enugu,Enugu_LGA2,2022,4,253.822262,30.06647055,0.542937206,rainy,1,50.86221545,21.99401508,1217.413194
Akwa Ibom,Akwa Ibom_LGA2,2025,9,261.4788583,27.18399024,0.622057377,rainy,0,56.92697601,19.40143422,2959.840997
Delta,Delta_LGA2,2024,8,440.2201224,26.41715199,0.651576486,rainy,0,77.80125131,87.28811763,50378.20368
Imo,Imo_LGA1,2018,9,284.3525371,25.86019116,0.624713127,rainy,0,54.99199051,52.91755443,10816.98585
Edo,Edo_LGA2,2020,8,221.1372852,24.07128653,0.584000847,rainy,0,49.46992575,38.98490568,2869.198344
Borno,Borno_LGA2,2024,11,48.97292452,30.29146838,0.367760372,dry,0,77.80108211,27.6897476,4191.331012
Cross River,Cross River_LGA1,2022,6,524.8205051,28.83915864,0.815601393,rainy,0,56.37673948,46.51776739,13345.65819
Edo,Edo_LGA3,2023,6,273.7897938,28.97889472,0.668840279,rainy,0,45.9361505,34.67047702,4105.779238
Enugu,Enugu_LGA3,2021,8,321.9858016,29.03198082,0.671559435,rainy,0,51.41572245,25.27750792,3793.51215
Anambra,Anambra_LGA1,2021,12,25.18301226,25.49688402,0.362651082,harmattan,0,84.75609831,41.91317497,2529.586515
Ebonyi,Ebonyi_LGA3,2024,2,22.49552492,26.37910951,0.311881799,harmattan,1,74.448314,63.65528363,1433.444814
Anambra,Anambra_LGA2,2021,4,336.9316596,26.15517447,0.771025214,rainy,1,65.64949278,33.90939434,5071.134722
Ekiti,Ekiti_LGA3,2018,6,291.3080095,29.29469464,0.636517953,rainy,1,55.10756598,59.87271552,7370.634831
Cross River,Cross River_LGA2,2024,12,32.64602094,24.9661423,0.317230953,harmattan,1,45.94885672,62.28353976,1909.655349
Gombe,Gombe_LGA1,2021,9,223.0656177,28.38868258,0.542324721,rainy,1,68.14872746,60.89653735,14079.35215
Cross River,Cross River_LGA1,2023,7,359.7053291,28.68779087,0.5722798,rainy,0,45.87319741,22.00836184,4427.404239
Jigawa,Jigawa_LGA3,2021,3,36.7756739,29.78558015,0.353621916,dry,0,37.32759473,28.11157331,782.2139459
Abia,Abia_LGA1,2020,10,154.8275154,26.36368363,0.523691785,rainy,0,84.29528797,67.33940078,15007.14428
Enugu,Enugu_LGA1,2021,10,269.1207306,26.75699032,0.628914796,rainy,1,36.44627665,46.13158844,2214.946179
Anambra,Anambra_LGA2,2023,1,22.5538807,26.58043884,0.240263097,harmattan,0,34.28369777,49.71575096,433.0787498
