record_id,state,lga,year,month,rainfall_mm,temperature_avg_c,vegetation_index,season,intervention_flag,reporting_completeness_pct,timeliness_pct,source,total_cases,symptomatic_cases,asymptomatic_cases,cases_under5,cases_5to15,cases_15plus,suspected_cases,tested_cases,positive_cases,rd_t_positive,microscopy_positive,pcr_positive,predicted_cases_lower_ci,predicted_cases_upper_ci
14,Akwa Ibom,Akwa Ibom_LGA3,2020,3,33.84123421,29.79228716,0.364700968,dry,0,53.39617315,44.23350696,sentinel,1507.316613,2429.144417,1174.943575,2501.077401,3543.599069,8383.530528,12194.5363,6163.288313,6714.025707,4028.415424,2014.207712,671.4025707,904.3899681,2110.243259
15,Ebonyi,Ebonyi_LGA2,2021,10,220.1321896,25.45470368,0.660055504,rainy,0,63.0660796,73.83262289,sentinel,9315.639067,11229.13093,5880.153773,8192.634537,10201.81643,18894.14115,31073.92031,18813.16255,20769.67232,12461.80339,6230.901696,2076.967232,5589.38344,13041.89469
16,Ekiti,Ekiti_LGA1,2025,4,259.8146356,29.37277336,0.612913788,rainy,1,66.06430309,78.2490214,survey,12137.542,13265.60339,5038.60676,7548.732111,10024.79305,20104.77347,27266.38241,19913.52433,25135.19722,15081.11833,7540.559166,2513.519722,7282.5252,16992.5588
17,Anambra,Anambra_LGA3,2019,6,358.4507387,28.5348486,0.819307644,rainy,0,54.26567501,66.28069075,routine,22092.7365,24032.98963,12161.52475,21362.69785,34433.98814,47679.90023,73648.67442,44921.81439,57605.59411,34563.35646,17281.67823,5760.559411,13255.6419,30929.8311
18,Edo,Edo_LGA2,2025,4,304.020515,26.18788221,0.782612235,rainy,1,37.79086632,78.97333359,routine,3446.106853,5927.9343,3760.581007,5373.427796,10995.93194,15612.24506,25845.20813,9668.90041,10989.31497,6593.588982,3296.794491,1098.931497,2067.664112,4824.549595
19,Benue,Benue_LGA1,2019,5,280.3582281,27.0748092,0.6696043,rainy,0,53.97781088,48.24598404,routine,12390.79362,12953.31219,6364.127882,19314.93617,23186.17614,39421.91376,53445.88761,35376.20486,49298.68851,29579.2131,14789.60655,4929.868851,7434.47617,17347.11106
20,Anambra,Anambra_LGA3,2020,5,381.4583349,26.69669894,0.780433741,rainy,0,48.0882914,70.44922736,routine,13702.34739,18899.55222,7739.255643,18233.5601,22921.01779,37300.97173,58113.58446,30182.34665,37261.10581,22356.66349,11178.33174,3726.110581,8221.408434,19183.28635
21,Anambra,Anambra_LGA1,2023,3,27.07610018,26.87603032,0.295075601,dry,0,63.39607369,44.05936926,routine,3021.863555,3109.889341,2264.831983,4039.718067,5523.156334,9962.614881,15904.34824,9902.714859,11171.09157,6702.654941,3351.32747,1117.109157,1813.118133,4230.608976
22,Ebonyi,Ebonyi_LGA2,2024,2,24.89388289,26.23531673,0.297552601,harmattan,0,54.90778512,51.51624011,routine,1827.207866,2198.360602,950.731498,2762.361936,3321.497528,5574.911878,9068.09858,5121.258493,6035.664507,3621.398704,1810.699352,603.5664507,1096.32472,2558.091013
23,Anambra,Anambra_LGA3,2023,2,31.55679505,24.97348453,0.318218188,harmattan,0,71.15132264,46.44567577,survey,2836.241832,2820.783119,1053.206648,2123.816832,4414.510437,6108.290289,9114.765805,7198.58853,9121.429041,5472.857425,2736.428712,912.1429041,1701.745099,3970.738564
24,Akwa Ibom,Akwa Ibom_LGA1,2023,7,261.2507759,27.87296554,0.578455,rainy,0,50.09859739,31.76573037,routine,4228.347023,5147.610058,2847.550334,11143.20976,14550.84191,21954.42371,32457.72635,19096.97428,25535.98301,15321.58981,7660.794903,2553.598301,2537.008214,5919.685832
25,Jigawa,Jigawa_LGA2,2023,4,329.8685025,28.5337425,0.589545139,rainy,0,56.73695032,35.74814047,sentinel,9323.680821,9707.240896,7968.076971,16468.92084,27055.33866,42760.59705,73697.57821,39164.31696,42242.35171,25345.41103,12672.70551,4224.235171,5594.208493,13053.15315
26,Adamawa,Adamawa_LGA3,2019,10,298.5543115,24.99929159,0.720924981,rainy,0,67.72614231,45.94888042,sentinel,7385.870659,7580.361452,5479.410949,10310.79629,12849.84916,19961.41204,41380.10553,23363.92482,22584.12664,13550.47598,6775.237992,2258.412664,4431.522395,10340.21892
27,Gombe,Gombe_LGA1,2020,11,89.49715608,30.15686987,0.431900998,dry,0,57.749568,41.62287596,survey,2373.725226,3313.627487,1291.882963,3739.793907,6596.003288,8134.935958,14483.95866,8533.414882,9979.584618,5987.750771,2993.875385,997.9584618,1424.235136,3323.215317
28,Adamawa,Adamawa_LGA1,2021,10,315.964808,28.32446168,0.734840681,rainy,1,53.87329124,68.97887441,routine,6379.759787,7705.705681,3414.124671,6226.073125,10290.59901,15780.6466,22239.17292,13919.70287,18422.39647,11053.43788,5526.718941,1842.239647,3827.855872,8931.663701
29,Jigawa,Jigawa_LGA1,2024,5,388.2449578,28.66399156,0.771018155,rainy,0,53.26715936,76.1994248,survey,13076.59416,16349.014,8984.419832,14445.856,22093.26366,26249.25235,45798.35136,26756.46575,33519.10408,20111.46245,10055.73122,3351.910408,7845.956493,18307.23182
30,Adamawa,Adamawa_LGA3,2018,7,272.7987629,28.11174531,0.713832372,rainy,1,52.41724258,35.67372086,routine,3910.752755,4839.819457,2054.567749,7855.69446,11401.73141,15110.1779,22347.03374,14411.64019,20147.14031,12088.28418,6044.142092,2014.714031,2346.451653,5475.053857
31,Benue,Benue_LGA3,2021,7,357.573431,28.62536774,0.630458608,rainy,0,62.40802243,33.65802866,routine,9339.423808,10487.03055,6583.425271,19117.01573,27405.18441,38071.26765,79044.05734,42234.48829,41857.74386,25114.64632,12557.32316,4185.774386,5603.654285,13075.19333
32,Adamawa,Adamawa_LGA2,2018,10,316.6550592,28.25275396,0.855997079,rainy,1,70.21210227,37.25784395,survey,2947.051937,3279.446023,1722.941461,3644.674131,5889.496449,8903.368667,16447.79005,10356.30713,10721.33667,6432.802,3216.401,1072.133667,1768.231162,4125.872712
33,Jigawa,Jigawa_LGA3,2021,7,351.9696168,27.83661844,0.562353533,rainy,1,55.92764145,65.14787694,routine,11081.87694,16510.94211,4976.707585,9852.560284,15101.55715,31427.2715,40742.73103,25226.22483,31884.43757,19130.66254,9565.331272,3188.443757,6649.126163,15514.62771
34,Jigawa,Jigawa_LGA3,2023,7,393.6070504,28.79146714,0.71705161,rainy,0,68.8823834,38.8320482,routine,16429.34322,15494.15374,9739.193086,18114.02691,32304.49744,50373.18725,89977.32535,55542.18658,57462.0251,34477.21506,17238.60753,5746.20251,9857.605932,23001.08051
35,Benue,Benue_LGA1,2020,4,411.0925092,27.75242565,0.758159079,rainy,0,50.28615633,56.23924005,survey,12451.48055,19148.73406,9282.315372,17418.85952,33610.73467,48713.14464,78247.90033,40125.43166,46906.25081,28143.75049,14071.87524,4690.625081,7470.888327,17432.07276
36,Cross River,Cross River_LGA3,2019,8,292.7382508,28.00890925,0.533485308,rainy,0,59.41849899,75.30600092,routine,21844.5473,26147.97821,16969.89336,20791.23725,30222.25621,42351.62766,84505.99603,44380.92284,45322.05679,27193.23407,13596.61704,4532.205679,13106.72838,30582.36622
37,Ekiti,Ekiti_LGA2,2020,10,187.865776,29.07711252,0.525865231,rainy,0,66.78110787,74.75152555,routine,20160.48265,24414.72609,10471.72996,13592.04527,17615.24372,37837.62309,53919.01086,36887.16577,43307.78708,25984.67225,12992.33612,4330.778708,12096.28959,28224.67571
38,Gombe,Gombe_LGA3,2025,8,300.259074,27.49893738,0.621879231,rainy,1,46.89318662,33.62617806,routine,3675.701146,5069.637065,1299.067927,7745.694961,13765.94681,18125.11762,23603.16794,14869.55164,22616.43201,13569.85921,6784.929603,2261.643201,2205.420688,5145.981605
39,Kaduna,Kaduna_LGA1,2023,11,69.72533801,33.57980745,0.284062778,dry,0,50.30902376,62.44667136,survey,4332.225413,6907.295809,4200.712624,5498.251657,9093.901325,19249.08571,28586.9527,13620.15745,14844.69303,8906.815816,4453.407908,1484.469303,2599.335248,6065.115578
40,Borno,Borno_LGA1,2024,12,33.44340728,25.48105833,0.324251163,harmattan,0,79.48683934,38.5875068,survey,3785.397049,3252.819546,1385.817476,2795.489265,4539.418562,8332.457108,10681.85358,9962.794556,13310.818,7986.4908,3993.2454,1331.0818,2271.238229,5299.555869
41,Ekiti,Ekiti_LGA2,2021,12,33.32586077,29.00682208,0.373576089,harmattan,1,30.73910309,39.40641773,survey,271.3120884,454.9104958,267.4603912,1345.275004,1901.622481,3102.940227,4312.340423,1561.506528,2094.071043,1256.442626,628.221313,209.4071043,162.787253,379.8369238
42,Gombe,Gombe_LGA1,2025,6,298.4530043,29.57415858,0.633496287,rainy,1,77.10553294,72.39958644,routine,14506.8389,15267.98384,7246.76287,7533.601285,14470.22057,19057.31055,38158.09139,25328.32397,25231.79758,15139.07855,7569.539273,2523.179758,8704.103338,20309.57446
43,Abia,Abia_LGA1,2020,6,245.9746692,26.19849209,0.698434421,rainy,0,73.99201621,55.28545362,routine,9763.61071,11360.82183,4073.721348,6232.826857,11322.26027,20712.371,31991.48769,22651.89106,24932.33275,14959.39965,7479.699824,2493.233275,5858.166426,13669.05499
44,Abia,Abia_LGA1,2023,6,246.0472947,25.48185455,0.548335039,rainy,0,84.57334473,46.17300788,routine,11900.81973,12745.27595,5056.955943,10619.90297,13819.61924,21411.70522,39646.93299,31022.33331,33074.30905,19844.58543,9922.292715,3307.430905,7140.491836,16661.14762
45,Akwa Ibom,Akwa Ibom_LGA3,2023,11,85.28837594,28.22528186,0.507941819,dry,0,47.89878339,55.54164081,routine,2109.573544,2936.725588,1381.339153,2751.847329,3688.491086,8680.39536,10886.89563,5794.118014,7348.894037,4409.336422,2204.668211,734.8894037,1265.744126,2953.402962
46,Enugu,Enugu_LGA2,2023,7,332.0168853,29.80034481,0.707523594,rainy,0,58.16280707,36.04730074,survey,9767.275409,12438.18177,6428.098291,18023.35071,30797.37615,40845.97451,73968.80246,41722.13642,46504.92093,27902.95256,13951.47628,4650.492093,5860.365245,13674.18557
47,Enugu,Enugu_LGA1,2020,6,237.6406252,27.53850302,0.621375397,rainy,0,40.32229066,50.42356842,routine,5083.961507,7502.811955,4005.001905,12097.39266,16191.63617,28544.38845,35175.39663,18333.22857,26870.50129,16122.30077,8061.150387,2687.050129,3050.376904,7117.54611
48,Jigawa,Jigawa_LGA1,2020,4,301.2539072,26.07781606,0.618049332,rainy,0,67.51062112,36.63683299,survey,19700.84076,25810.03187,14422.95258,30757.78863,44959.99791,85654.29945,147737.7596,87154.63806,88051.45884,52830.8753,26415.43765,8805.145884,11820.50446,27581.17707
49,Ebonyi,Ebonyi_LGA3,2025,6,240.4996564,28.24681722,0.715094205,rainy,0,42.02000336,47.07973602,routine,3446.700645,5959.128322,2613.017098,8034.911858,15431.12878,22321.79075,37153.76429,15392.03863,17426.51285,10455.90771,5227.953856,1742.651285,2068.020387,4825.380903
50,Delta,Delta_LGA1,2023,8,372.8698092,28.71890391,0.562583097,rainy,0,94.46679685,77.28200672,survey,56551.00864,41161.22821,25516.27487,16923.92655,29695.1377,45790.02353,72253.25331,69836.72418,81897.2475,49138.3485,24569.17425,8189.72475,33930.60519,79171.4121
51,Jigawa,Jigawa_LGA1,2018,8,285.2980496,27.84699955,0.653573051,rainy,1,54.75762225,70.18771664,routine,5553.644441,8223.631966,3120.627316,6617.696764,9147.864375,15367.22274,26434.8088,13638.05776,14792.05252,8875.23151,4437.615755,1479.205252,3332.186664,7775.102217
52,Jigawa,Jigawa_LGA1,2019,9,446.536513,27.90025496,0.750389691,rainy,1,61.41689463,52.3881563,survey,17598.24647,16964.08762,11046.80481,16236.61875,24074.94661,48644.19211,66887.228,43707.09107,53193.48114,31916.08869,15958.04434,5319.348114,10558.94788,24637.54506
53,Cross River,Cross River_LGA2,2022,4,324.6945556,26.74504576,0.582093708,rainy,0,47.72605167,55.25939395,survey,9777.549478,14975.37457,8843.112707,19631.20201,26551.27146,40816.06906,64959.44905,33216.77549,40696.16142,24417.69685,12208.84843,4069.616142,5866.529687,13688.56927
54,Delta,Delta_LGA3,2023,3,84.4850502,29.93101163,0.443010628,dry,0,74.72245454,24.08093101,routine,3021.84547,2957.730191,1680.752649,4618.208312,9173.147283,12331.17808,23195.54592,15615.51868,16236.7527,9742.051621,4871.025811,1623.67527,1813.107282,4230.583658
55,Anambra,Anambra_LGA3,2025,5,320.7675918,29.28003906,0.706693147,rainy,1,56.0807933,31.71265174,routine,2824.576479,3542.737441,2532.329316,7143.19498,11944.94543,15559.61048,30489.4186,15544.58685,16300.92255,9780.553532,4890.276766,1630.092255,1694.745888,3954.407071
56,Ebonyi,Ebonyi_LGA3,2018,7,169.5453351,26.54217771,0.610182656,rainy,1,75.39022568,62.29453092,routine,4489.573632,5781.379096,2216.491518,2885.058705,5663.711116,8647.456613,16473.74299,10371.41913,10041.14439,6024.686637,3012.343318,1004.114439,2693.744179,6285.403085
57,Anambra,Anambra_LGA3,2021,12,33.11886969,28.62485688,0.408648447,harmattan,0,58.73314283,58.7722151,survey,1591.783735,1501.561165,594.231875,1424.245136,1995.945863,3020.287397,4141.264395,3026.1563,4276.021314,2565.612789,1282.806394,427.6021314,955.0702409,2228.497229
58,Abia,Abia_LGA2,2024,1,27.85809147,26.47859309,0.273346005,harmattan,0,83.9581895,33.2414809,routine,703.0283099,731.8335828,405.2136699,742.8558927,1274.995171,1962.299406,4060.758349,2673.329819,2440.028616,1464.017169,732.0085847,244.0028616,421.816986,984.2396339
59,Bayelsa,Bayelsa_LGA3,2021,3,103.9335052,25.1267998,0.395556542,dry,0,40.83722566,82.96468784,routine,2073.172256,2967.904348,1433.059182,2761.004368,3426.184111,7141.527031,8703.314381,4354.462104,6062.99614,3637.797684,1818.898842,606.299614,1243.903354,2902.441158
60,Cross River,Cross River_LGA3,2024,3,74.47774617,32.10508641,0.270555478,dry,1,40.40358132,53.17220518,routine,1493.901774,2619.044024,1218.448139,3530.982662,6967.453497,9046.876672,14645.52555,6317.605091,7714.212948,4628.527769,2314.263885,771.4212948,896.3410643,2091.462483
61,Cross River,Cross River_LGA1,2024,2,38.69790081,27.13713995,0.262710669,harmattan,1,66.79413049,69.24389524,routine,4977.080389,4951.91279,1977.891593,2583.957356,4202.729677,8348.371164,10265.46136,8087.464417,10859.03323,6515.41994,3257.70997,1085.903323,2986.248234,6967.912545
62,Imo,Imo_LGA1,2024,4,437.3316905,27.55314564,0.835087242,rainy,0,62.25245669,79.83780178,routine,39619.41823,42403.78834,17740.60297,25861.51108,30994.21292,67555.4522,94520.34545,61959.21086,74668.66787,44801.20072,22400.60036,7466.866787,23771.65094,55467.18552
63,Gombe,Gombe_LGA3,2020,10,280.6426923,26.95050633,0.650165967,rainy,1,63.85731435,30.55806263,routine,6690.054,8172.220227,2942.876072,11763.63197,18869.34346,29375.3698,45678.74003,30655.77412,36876.52085,22125.91251,11062.95625,3687.652085,4014.0324,9366.075599
64,Enugu,Enugu_LGA2,2019,11,50.98130963,29.16960107,0.314060145,dry,0,40.04015895,61.87658542,routine,1170.657265,1859.001479,1018.80754,2643.44436,4188.177469,5154.70571,8430.888012,3839.475679,4979.388491,2987.633095,1493.816547,497.9388491,702.3943593,1638.920172
65,Abia,Abia_LGA1,2019,12,10.78279535,27.7678124,0.356111396,harmattan,1,86.8644119,71.88764642,survey,1821.669923,1309.288337,734.3295301,612.3832844,878.8039916,1741.798307,2497.36796,2246.651131,2665.123002,1599.073801,799.5369006,266.5123002,1093.001954,2550.337892
66,Delta,Delta_LGA1,2021,6,560.8523102,23.85060618,0.838231273,rainy,0,64.67982892,77.40261053,sentinel,40023.72068,43100.67206,28675.06185,34442.97235,39193.73583,77141.53683,138921.5371,78018.48874,78350.29856,47010.17914,23505.08957,7835.029856,24014.23241,56033.20895
67,Edo,Edo_LGA2,2024,5,171.0233386,27.53650093,0.581384265,rainy,0,74.95500292,72.12475724,routine,14117.55465,15565.64458,7210.862676,7560.45207,15103.96966,20238.33259,35773.9007,25726.20861,28385.51348,17031.30809,8515.654045,2838.551348,8470.532791,19764.57651
68,Borno,Borno_LGA3,2018,8,423.1182962,29.25645502,0.664877325,rainy,1,62.2652815,63.38395878,survey,20029.20759,19847.29844,10521.53166,13084.23708,25732.08458,42327.74011,52955.89824,40419.66279,56308.49926,33785.09956,16892.54978,5630.849926,12017.52456,28040.89063
69,Ekiti,Ekiti_LGA3,2020,11,68.14915759,26.61986291,0.308244404,dry,0,94.67174047,78.92992265,routine,7308.980954,7471.759767,3400.145803,2706.59718,3800.918285,7413.900227,13052.33442,10543.71723,10416.43758,6249.862546,3124.931273,1041.643758,4385.388572,10232.57334
70,Jigawa,Jigawa_LGA2,2019,9,331.2424589,27.64944928,0.524583093,rainy,0,59.1741224,47.68278624,routine,13357.33684,12805.691,5728.415827,12153.52176,19131.00511,37432.23566,45619.77115,32530.03293,44581.60673,26748.96404,13374.48202,4458.160673,8014.402101,18700.27157
71,Benue,Benue_LGA2,2024,12,30.98617257,26.74739273,0.368382182,harmattan,0,88.59709909,34.60746448,routine,2306.641028,2104.454586,1239.72883,2616.317869,3189.227134,5417.806594,10380.19627,7954.851148,7960.163016,4776.097809,2388.048905,796.0163016,1383.984617,3229.29744
72,Abia,Abia_LGA1,2025,1,26.74727275,25.31317366,0.299798184,harmattan,0,56.15435991,77.70891359,routine,1377.343211,1675.547313,914.9837512,1126.389691,1709.539003,2629.248014,4072.332531,2455.147999,3013.848209,1808.308926,904.1544628,301.3848209,826.4059267,1928.280496
73,Abia,Abia_LGA3,2020,12,21.64083667,26.23372995,0.364039312,harmattan,0,67.95024116,67.68380412,survey,2264.817318,1989.566354,1033.546984,1213.999393,2291.96149,3630.964316,5335.669606,3879.646307,4747.527696,2848.516617,1424.258309,474.7527696,1358.890391,3170.744245
74,Adamawa,Adamawa_LGA1,2018,9,189.4005725,27.96814297,0.688936426,rainy,0,47.29394153,73.73341984,sentinel,4033.071349,5583.356716,3290.270989,5636.579715,9135.658733,12695.56003,20368.85885,10392.48364,12816.133,7689.679803,3844.839901,1281.6133,2419.842809,5646.299889
75,Anambra,Anambra_LGA2,2021,6,352.7233974,28.32016424,0.85197633,rainy,0,60.13462017,51.35346825,routine,11588.13787,13189.08595,6361.862988,14384.22794,18342.77696,30479.05192,48159.29253,30406.97775,36543.73044,21926.23826,10963.11913,3654.373044,6952.882723,16223.39302
76,Borno,Borno_LGA2,2020,3,77.03237651,29.12117061,0.422353377,dry,1,77.66523215,77.28164391,survey,8168.037567,8012.184999,4231.242443,3909.486693,7168.276216,10092.53991,18099.86177,13153.57187,14174.10309,8504.461853,4252.230927,1417.410309,4900.82254,11435.25259
77,Akwa Ibom,Akwa Ibom_LGA2,2021,4,249.9321287,26.15916291,0.679159793,rainy,1,71.5708255,82.41544235,routine,9232.033524,9754.380534,5099.734902,4662.804417,8547.967323,12294.82825,24152.33724,14603.65477,14293.27399,8575.964392,4287.982196,1429.327399,5539.220114,12924.84693
78,Delta,Delta_LGA3,2019,6,477.0475076,31.4516715,0.833932112,rainy,0,80.12860173,82.60865067,routine,38649.14523,36964.14145,16342.86832,14023.52626,26299.3983,42108.78853,61685.0638,52841.10326,64603.99133,38762.3948,19381.1974,6460.399133,23189.48714,54108.80332
79,Cross River,Cross River_LGA3,2020,8,333.7734832,27.87168597,0.651980943,rainy,0,61.97358975,78.26347114,routine,28054.4718,33364.99096,24269.31929,25581.75122,29324.57304,62131.72504,100326.5827,58026.14442,62373.25931,37423.95559,18711.97779,6237.325931,16832.68308,39276.26052
80,Enugu,Enugu_LGA1,2018,9,277.483867,27.65982108,0.67611735,rainy,0,54.90391075,68.73801493,survey,9279.992903,12065.20525,4971.728068,9890.452452,13416.10743,22710.11839,36978.95876,20211.96477,23094.78636,13856.87182,6928.435908,2309.478636,5567.995742,12991.99006
81,Edo,Edo_LGA2,2022,10,312.2672059,25.44589798,0.763606864,rainy,1,74.69560961,53.46303643,survey,9451.529964,10610.56723,4008.001942,6907.617965,8747.821849,20664.38307,28903.92649,21703.45049,25028.77463,15017.26478,7508.632388,2502.877463,5670.917979,13232.14195
82,Edo,Edo_LGA1,2019,2,41.05684247,27.22206846,0.382172318,harmattan,0,35.10087759,37.28832743,routine,348.1861957,683.2621072,458.5534403,1699.336157,2448.218265,4161.402739,6775.378777,2333.213506,2629.346894,1577.608137,788.8040683,262.9346894,208.9117174,487.460674
83,Gombe,Gombe_LGA2,2022,8,238.7280773,26.18050083,0.579854395,rainy,1,53.00421412,79.34299607,sentinel,5240.553487,6845.998062,2695.254335,4251.541764,5897.292165,11972.68537,14345.77151,9380.269965,13147.01677,7888.210064,3944.105032,1314.701677,3144.332092,7336.774882
84,Bayelsa,Bayelsa_LGA2,2024,8,309.7905491,28.27517098,0.692648331,rainy,1,81.29805699,79.96237366,routine,29102.53385,26219.97044,11127.09782,10194.90414,15514.11219,30070.20627,43494.34188,36277.93934,42653.04628,25591.82777,12795.91388,4265.304628,17461.52031,40743.5474
85,Ebonyi,Ebonyi_LGA2,2022,1,21.68509378,24.08563351,0.261467982,harmattan,0,55.21068239,82.41478013,routine,1844.025903,2995.003231,958.2499301,1447.981194,2792.183116,3989.397604,6745.84528,3634.877833,4075.978867,2445.58732,1222.79366,407.5978867,1106.415542,2581.636265
86,Bauchi,Bauchi_LGA3,2023,10,399.4677874,28.8757774,0.890871686,rainy,1,62.54083197,41.76983071,survey,10376.81761,9877.65829,5279.749871,8757.436769,17117.43591,28638.3031,35958.30383,27274.39494,37609.46416,22565.67849,11282.83925,3760.946416,6226.090565,14527.54465
87,Akwa Ibom,Akwa Ibom_LGA2,2025,8,231.9080697,28.24582724,0.624467961,rainy,0,36.94399501,53.58291652,routine,2761.994279,4681.577276,2583.819149,6186.228693,12350.65796,19296.94776,26296.24854,11181.86392,14667.4302,8800.458118,4400.229059,1466.74302,1657.196567,3866.79199
88,Akwa Ibom,Akwa Ibom_LGA1,2024,8,306.7820903,26.07265699,0.720922068,rainy,0,74.94826149,36.08459964,routine,8585.586887,9913.323446,3748.874984,10637.00235,14839.11377,21289.88973,40900.35494,28040.24668,29575.9966,17745.59796,8872.798981,2957.59966,5151.352132,12019.82164
89,Jigawa,Jigawa_LGA2,2025,10,288.8474024,25.35279713,0.613048748,rainy,0,58.4831697,57.38308117,routine,11646.26623,14178.92696,8447.619127,13330.93013,18100.79863,33943.79863,49685.98544,30586.9445,36848.80694,22109.28417,11054.64208,3684.880694,6987.759737,16304.77272
90,Enugu,Enugu_LGA2,2018,10,287.2455731,29.95074046,0.678833832,rainy,1,53.20114856,37.11120256,routine,1989.661284,3153.167123,1300.135124,3810.77957,6900.386026,11572.76062,18454.0959,9484.243753,10532.76049,6319.656293,3159.828147,1053.276049,1193.796771,2785.525798
91,Gombe,Gombe_LGA2,2020,2,32.94089399,28.84280288,0.339858398,harmattan,0,76.30964403,71.5573254,survey,4521.501291,4063.103496,2661.822015,2774.883654,3919.328779,6081.0095,11909.56846,7798.981105,7746.232105,4647.739263,2323.869631,774.6232105,2712.900774,6330.101807
92,Adamawa,Adamawa_LGA2,2025,1,24.2540192,24.45006956,0.29322996,harmattan,0,58.41976613,32.40102119,survey,1061.284611,1561.282616,531.784698,2084.27656,3330.985774,5350.580035,9456.753041,5031.503947,5285.259157,3171.155494,1585.577747,528.5259157,636.7707667,1485.798456
93,Abia,Abia_LGA2,2023,2,8.785202927,23.45997758,0.363400509,harmattan,0,72.27960184,24.84423098,survey,482.0206967,577.4578138,197.7413251,784.9413903,1266.423745,2038.877569,3385.976335,2365.128913,2627.553463,1576.532078,788.2660389,262.7553463,289.212418,674.8289754
